Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Martin Ødegaard,Adidas[31],Emirates[32],Visit Rwanda[33]
Aston Villa,Unai Emery,John McGinn,Castore[34],Cazoo[35],Kaiyun Sports[36]
Bournemouth,Gary O'Neil,Neto,Umbro[37],Dafabet[38],DeWalt[39]
Brentford,Thomas Frank,Pontus Jansson,Umbro[40],Hollywoodbets[41],Safetyculture[42]
Brighton & Hove Albion,Roberto De Zerbi,Lewis Dunk,Nike[43],American Express[43],SnickersUK.com[44]
Chelsea,Frank Lampard (interim),César Azpilicueta,Nike[45],Three[46],WhaleFin[47]
Crystal Palace,Roy Hodgson,Luka Milivojević,Macron[48],Cinch[49],Mukuru[50]
Everton,Sean Dyche,Séamus Coleman,Hummel[51],Stake.com[52],BOXT[53]
Fulham,Marco Silva,Tom Cairney,Adidas[54],W88[55],World Mobile[56]
Leeds United,Sam Allardyce,Liam Cooper,Adidas[57],SBOTOP[58],Wish[59]
Leicester City,Dean Smith,Jonny Evans,Adidas[60],FBS[61],Bia Saigon[62]
Liverpool,Jürgen Klopp,Jordan Henderson,Nike[63],Standard Chartered[64],Expedia[65]
Manchester City,Pep Guardiola,İlkay Gündoğan,Puma[66],Etihad Airways[67],Nexen Tire[68]
Manchester United,Erik ten Hag,Harry Maguire,Adidas[69],TeamViewer[70],DXC Technology[71]
Newcastle United,Eddie Howe,Jamaal Lascelles,Castore[72],FUN88[73],noon.com[74]
Nottingham Forest,Steve Cooper,Joe Worrall,Macron[75],UNHCR[76]1,None
Southampton,Rubén Sellés,James Ward-Prowse,Hummel[77],Sportsbet.io[78],JD Sports[79]
Tottenham Hotspur,Ryan Mason (interim),Hugo Lloris,Nike[80],AIA[81],Cinch[82]
West Ham United,David Moyes,Declan Rice,Umbro[83],Betway[84],Scope Markets[85]
Wolverhampton Wanderers,Julen Lopetegui,Rúben Neves,Castore[86],AstroPay[87],12BET[88]
Arsenal,Mikel Arteta,Martin Ødegaard,Adidas[31],Emirates[32],Visit Rwanda[33]
Aston Villa,Unai Emery,John McGinn,Castore[34],Cazoo[35],Kaiyun Sports[36]
Bournemouth,Gary O'Neil,Neto,Umbro[37],Dafabet[38],DeWalt[39]
Brentford,Thomas Frank,Pontus Jansson,Umbro[40],Hollywoodbets[41],Safetyculture[42]
Brighton & Hove Albion,Roberto De Zerbi,Lewis Dunk,Nike[43],American Express[43],SnickersUK.com[44]
Chelsea,Frank Lampard (interim),César Azpilicueta,Nike[45],Three[46],WhaleFin[47]
Crystal Palace,Roy Hodgson,Luka Milivojević,Macron[48],Cinch[49],Mukuru[50]
Everton,Sean Dyche,Séamus Coleman,Hummel[51],Stake.com[52],BOXT[53]
Fulham,Marco Silva,Tom Cairney,Adidas[54],W88[55],World Mobile[56]
Leeds United,Sam Allardyce,Liam Cooper,Adidas[57],SBOTOP[58],Wish[59]
Leicester City,Dean Smith,Jonny Evans,Adidas[60],FBS[61],Bia Saigon[62]
Liverpool,Jürgen Klopp,Jordan Henderson,Nike[63],Standard Chartered[64],Expedia[65]
Manchester City,Pep Guardiola,İlkay Gündoğan,Puma[66],Etihad Airways[67],Nexen Tire[68]
Manchester United,Erik ten Hag,Harry Maguire,Adidas[69],TeamViewer[70],DXC Technology[71]
Newcastle United,Eddie Howe,Jamaal Lascelles,Castore[72],FUN88[73],noon.com[74]
Nottingham Forest,Steve Cooper,Joe Worrall,Macron[75],UNHCR[76]1,None
Southampton,Rubén Sellés,James Ward-Prowse,Hummel[77],Sportsbet.io[78],JD Sports[79]
Tottenham Hotspur,Ryan Mason (interim),Hugo Lloris,Nike[80],AIA[81],Cinch[82]
West Ham United,David Moyes,Declan Rice,Umbro[83],Betway[84],Scope Markets[85]
Wolverhampton Wanderers,Julen Lopetegui,Rúben Neves,Castore[86],AstroPay[87],12BET[88]
